Year,State,Number in Poverty,Percent in Poverty
2014',Wyoming,63860,11
2015',Alabama,875853,19
2015',Alaska,74941,10
2015',Arizona,1159046,17
2015',Arkansas,540733,19
2015',California,5896255,15
2015',Colorado,614410,12
2015',Connecticut,367867,11
2015',Delaware,115655,13
2015',District of Columbia,113185,18
2015',Florida,3129061,16
2015',Georgia,1705831,17
2015',Hawaii,149091,11
2015',Idaho,238646,15
2015',Illinois,1702210,14
2015',Indiana,924428,14
2015',Iowa,366453,12
2015',Kansas,366069,13
2015',Kentucky,786345,18
2015',Louisiana,885846,20
2015',Maine,171266,13
2015',Maryland,583369,10
2015',Massachusetts,752453,12
2015',Michigan,1524330,16
2015',Minnesota,546499,10
2015',Mississippi,638919,22
2015',Missouri,875704,15
2015',Montana,144634,14
2015',Nebraska,224696,12
2015',Nevada,424824,15
2015',New Hampshire,108293,8
2015',New Jersey,945989,11
2015',New Mexico,405364,20
2015',New York,2985604,16
2015',North Carolina,1607249,16
2015',North Dakota,78613,11
2015',Ohio,1670487,15
2015',Oklahoma,608507,16
2015',Oregon,601626,15
2015',Pennsylvania,1624991,13
2015',Rhode Island,143724,14
2015',South Carolina,796609,17
2015',South Dakota,111697,14
2015',Tennessee,1077866,17
2015',Texas,4255690,16
2015',Utah,331233,11
2015',Vermont,62643,10
2015',Virginia,914226,11
2015',Washington,860734,12
2015',West Virginia,322589,18
2015',Wisconsin,679937,12
2015',Wyoming,60787,11
2016',Alabama,814197,17
2016',Alaska,71916,10
2016',Arizona,1107153,16
2016',Arkansas,497388,17
2016',California,5527621,14
2016',Colorado,598378,11
2016',Connecticut,342171,10
2016',Delaware,109592,12
2016',District of Columbia,119778,19
2016',Florida,2986237,15
2016',Georgia,1612368,16
2016',Hawaii,132597,10
2016',Idaho,228037,14
2016',Illinois,1620974,13
2016',Indiana,899168,14
2016',Iowa,354429,12
2016',Kansas,343773,12
2016',Kentucky,782779,18
2016',Louisiana,911970,20
2016',Maine,159523,12
2016',Maryland,572786,10
2016',Massachusetts,688366,11
2016',Michigan,1449683,15
2016',Minnesota,531789,10
2016',Mississippi,606873,21
2016',Missouri,826358,14
2016',Montana,136439,13
2016',Nebraska,208864,11
2016',Nevada,407308,14
2016',New Hampshire,97753,8
2016',New Jersey,915390,10
2016',New Mexico,390461,19
2016',New York,2843954,15
2016',North Carolina,1523034,15
2016',North Dakota,76951,11
2016',Ohio,1639636,15
2016',Oklahoma,615050,16
2016',Oregon,538169,13
2016',Pennsylvania,1589584,13
2016',Rhode Island,134683,13
2016',South Carolina,739574,15
2016',South Dakota,107953,13
2016',Tennessee,1023825,16
2016',Texas,4261291,16
2016',Utah,307270,10
2016',Vermont,67825,11
2016',Virginia,897244,11
2016',Washington,808582,11
2016',West Virginia,318368,18
2016',Wisconsin,661465,12
2016',Wyoming,62416,11
2017',Alabama,802263,17
2017',Alaska,79428,11
2017',Arizona,1023337,15
2017',Arkansas,475883,16
2017',California,5164169,13
2017',Colorado,566118,10
2017',Connecticut,338651,10
2017',Delaware,121592,13
2017',District of Columbia,109502,17
2017',Florida,2901876,14
2017',Georgia,1536069,15
2017',Hawaii,132201,10
2017',Idaho,211937,13
2017',Illinois,1568670,13
2017',Indiana,860753,13
2017',Iowa,328629,11
2017',Kansas,335371,12
2017',Kentucky,738563,17
2017',Louisiana,893827,20
2017',Maine,147413,11
2017',Maryland,556549,9
2017',Massachusetts,692943,11
2017',Michigan,1373358,14
2017',Minnesota,517348,10
2017',Mississippi,573717,20
2017',Missouri,793001,13
2017',Montana,130616,13
2017',Nebraska,198984,11
2017',Nevada,392857,13
2017',New Hampshire,100550,8
2017',New Jersey,882132,10
2017',New Mexico,388790,19
2017',New York,2735578,14
2017',North Carolina,1468032,15
2017',North Dakota,74057,10
2017',Ohio,1575401,14
2017',Oklahoma,600911,16
2017',Oregon,534846,13
2017',Pennsylvania,1548557,13
2017',Rhode Island,125208,12
2017',South Carolina,750359,15
2017',South Dakota,107522,13
2017',Tennessee,980394,15
2017',Texas,4080377,15
2017',Utah,296138,10
2017',Vermont,65068,11
2017',Virginia,876438,11
2017',Washington,799675,11
2017',West Virginia,326502,19
2017',Wisconsin,640174,11
2017',Wyoming,61319,11
2018',Alabama,801758,17
2018',Alaska,80224,11
2018',Arizona,990291,14
2018',Arkansas,492306,17
2018',California,4972955,13
2018',Colorado,540579,10
2018',Connecticut,358519,10
2018',Delaware,114691,12
2018',District of Columbia,107806,16
2018',Florida,2854438,14
2018',Georgia,1484439,15
2018',Hawaii,124400,9
2018',Idaho,201804,12
2018',Illinois,1509348,12
2018',Indiana,844165,13
2018',Iowa,342574,11
2018',Kansas,336892,12
2018',Kentucky,723053,17
2018',Louisiana,848005,19
2018',Maine,151458,12
2018',Maryland,538824,9
2018',Massachusetts,668402,10
2018',Michigan,1369235,14
2018',Minnesota,527445,10
2018',Mississippi,571402,20
2018',Missouri,785343,13
2018',Montana,134185,13
2018',Nebraska,205393,11
2018',Nevada,391347,13
2018',New Hampshire,100076,8
2018',New Jersey,831386,10
2018',New Mexico,386739,19
2018',New York,2603303,14
2018',North Carolina,1422154,14
2018',North Dakota,77959,11
2018',Ohio,1568586,14
2018',Oklahoma,593936,16
2018',Oregon,516014,13
2018',Pennsylvania,1517936,12
2018',Rhode Island,130538,13
2018',South Carolina,750582,15
2018',South Dakota,109814,13
2018',Tennessee,1003055,15
2018',Texas,4181623,15
2018',Utah,283562,9
2018',Vermont,64431,11
2018',Virginia,884898,11
2018',Washington,761941,10
2018',West Virginia,305656,17
2018',Wisconsin,626748,11
2018',Wyoming,60097,11
2019',Alabama,747478,16
2019',Alaska,73033,10
2019',Arizona,963007,14
2019',Arkansas,468575,16
2019',California,4560419,12
2019',Colorado,531331,9
2019',Connecticut,343101,10
2019',Delaware,106227,11
2019',District of Columbia,94985,14
2019',Florida,2681832,13
2019',Georgia,1397607,14
2019',Hawaii,124650,9
2019',Idaho,193741,11
2019',Illinois,1415838,11
